Id,Predicted
5895,1.000000
7122,1.000000
6173,1.000000
6142,1.000000
5358,0.000000
6095,1.000000
6878,1.000000
6554,1.000000
6793,1.000000
7286,0.000000
6076,0.000000
5134,0.000000
5419,0.000000
6255,1.000000
5656,0.000000
6934,0.000000
6028,1.000000
6490,0.000000
6415,1.000000
7087,1.000000
5420,0.000000
5977,1.000000
6824,1.000000
5207,1.000000
7115,0.000000
7250,1.000000
6010,1.000000
6088,1.000000
5682,1.000000
7201,1.000000
6938,0.000000
6875,1.000000
5953,1.000000
5942,1.000000
5382,1.000000
6377,1.000000
5931,0.000000
5992,1.000000
5790,0.000000
6753,1.000000
6562,1.000000
7046,0.000000
5784,0.000000
5868,1.000000
5878,0.000000
5110,1.000000
5210,1.000000
7230,1.000000
5005,0.000000
6871,0.000000
5363,0.000000
7253,1.000000
5072,1.000000
6055,1.000000
6913,1.000000
6386,1.000000
5634,0.000000
5758,0.000000
6819,1.000000
7088,1.000000
5039,0.000000
6037,1.000000
5532,1.000000
6322,1.000000
6887,0.000000
6660,1.000000
5451,1.000000
6014,1.000000
5556,0.000000
6346,1.000000
5850,1.000000
5940,1.000000
7119,1.000000
6851,0.000000
5253,0.000000
6695,1.000000
6908,1.000000
7255,1.000000
5674,1.000000
6278,1.000000
5486,1.000000
5174,1.000000
6621,0.000000
6313,1.000000
6435,1.000000
6970,0.000000
6310,1.000000
5932,1.000000
6877,1.000000
6763,1.000000
7085,0.000000
7049,1.000000
6959,0.000000
5214,0.000000
6350,1.000000
5063,0.000000
5041,1.000000
6942,1.000000
5086,1.000000
5270,1.000000
6705,1.000000
7051,1.000000
6758,1.000000
6249,0.000000
5808,1.000000
5377,1.000000
5446,1.000000
5856,0.000000
7001,1.000000
4986,0.000000
6677,0.000000
6665,1.000000
5817,0.000000
6984,0.000000
6541,0.000000
5117,1.000000
6097,1.000000
5389,1.000000
7219,1.000000
6338,1.000000
6922,0.000000
5367,0.000000
5638,0.000000
5830,1.000000
5338,0.000000
6007,1.000000
6612,1.000000
