Id,Predicted
5895,1.000000
7122,0.000000
6173,1.000000
6142,1.000000
5358,0.571429
6095,1.000000
6878,0.600000
6554,1.000000
6793,1.000000
7286,1.000000
6076,1.000000
5134,1.000000
5419,0.428571
6255,1.000000
5656,1.000000
6934,0.428571
6028,1.000000
6490,1.000000
6415,1.000000
7087,1.000000
5420,1.000000
5977,1.000000
6824,1.000000
5207,1.000000
7115,0.571429
7250,1.000000
6010,0.666667
6088,0.600000
5682,0.666667
7201,0.666667
6938,1.000000
6875,1.000000
5953,1.000000
5942,1.000000
5382,1.000000
6377,1.000000
5931,0.571429
5992,1.000000
5790,1.000000
6753,0.750000
6562,1.000000
7046,0.000000
5784,0.666667
5868,0.400000
5878,1.000000
5110,1.000000
5210,1.000000
7230,1.000000
5005,1.000000
6871,1.000000
5363,0.428571
7253,1.000000
5072,1.000000
6055,0.000000
6913,1.000000
6386,1.000000
5634,0.666667
5758,0.000000
6819,0.750000
7088,1.000000
5039,1.000000
6037,1.000000
5532,1.000000
6322,1.000000
6887,1.000000
6660,1.000000
5451,1.000000
6014,1.000000
5556,0.428571
6346,1.000000
5850,1.000000
5940,1.000000
7119,1.000000
6851,0.428571
5253,0.600000
6695,0.750000
6908,0.000000
7255,1.000000
5674,1.000000
6278,0.666667
5486,1.000000
5174,1.000000
6621,1.000000
6313,1.000000
6435,1.000000
6970,1.000000
6310,0.500000
5932,1.000000
6877,1.000000
6763,0.571429
7085,0.428571
7049,1.000000
6959,1.000000
5214,1.000000
6350,1.000000
5063,0.428571
5041,1.000000
6942,1.000000
5086,1.000000
5270,1.000000
6705,1.000000
7051,0.500000
6758,1.000000
6249,1.000000
5808,1.000000
5377,1.000000
5446,1.000000
5856,1.000000
7001,1.000000
4986,1.000000
6677,1.000000
6665,1.000000
5817,0.000000
6984,1.000000
6541,1.000000
5117,1.000000
6097,1.000000
5389,1.000000
7219,1.000000
6338,1.000000
6922,1.000000
5367,0.600000
5638,0.428571
5830,1.000000
5338,0.571429
6007,1.000000
6612,0.428571
5718,1.000000
6104,1.000000
5229,1.000000
5963,1.000000
5206,1.000000
6625,1.000000
4990,1.000000
6641,1.000000
5369,0.666667
6196,1.000000
5236,1.000000
5719,1.000000
5643,0.428571
7050,1.000000
6355,1.000000
6688,1.000000
6239,1.000000
5531,1.000000
6113,1.000000
7181,1.000000
6118,1.000000
7264,0.500000
5343,1.000000
5051,1.000000
5779,0.500000
6605,1.000000
6655,1.000000
6534,1.000000
5681,1.000000
6607,1.000000
6242,0.400000
7242,1.000000
7277,1.000000
6675,1.000000
5398,1.000000
5956,1.000000
5731,0.000000
6437,0.600000
6956,1.000000
5447,0.428571
5973,1.000000
6075,1.000000
5281,1.000000
5103,1.000000
6468,1.000000
7209,0.000000
5584,1.000000
4988,0.000000
4962,1.000000
5651,1.000000
6502,1.000000
5862,1.000000
7199,1.000000
6727,0.000000
7279,1.000000
6544,1.000000
5933,1.000000
6574,1.000000
6399,1.000000
7187,0.666667
6353,1.000000
5043,1.000000
5469,0.000000
5976,0.000000
6059,1.000000
5799,1.000000
6147,1.000000
6254,1.000000
7100,0.400000
7147,0.428571
7037,1.000000
5909,1.000000
5782,0.000000
6237,0.000000
6552,1.000000
7067,1.000000
5320,1.000000
5930,0.500000
6486,1.000000
5245,1.000000
6643,1.000000
5260,1.000000
5569,0.000000
7110,0.571429
7139,1.000000
6791,1.000000
5360,1.000000
5287,0.666667
6553,1.000000
7072,1.000000
6044,1.000000
5332,1.000000
6866,0.400000
6633,1.000000
6926,1.000000
6442,1.000000
5889,1.000000
5765,1.000000
5124,1.000000
5491,0.428571
6730,1.000000
7151,1.000000
5140,1.000000
7171,1.000000
6568,1.000000
6861,1.000000
6855,0.666667
7129,1.000000
5384,1.000000
6859,1.000000
5772,1.000000
5665,1.000000
6495,1.000000
5061,1.000000
6948,0.000000
5773,0.571429
6052,1.000000
6682,0.000000
6083,0.428571
6962,0.500000
5158,1.000000
6464,1.000000
5172,1.000000
5582,0.666667
6508,1.000000
4968,1.000000
6136,0.571429
6235,1.000000
6632,1.000000
7195,1.000000
5525,0.666667
6320,1.000000
6766,1.000000
6872,1.000000
5906,1.000000
7172,1.000000
6571,1.000000
5616,1.000000
6470,1.000000
6312,1.000000
5147,1.000000
5501,1.000000
6436,0.400000
5699,1.000000
5313,1.000000
6234,1.000000
6569,1.000000
7202,1.000000
5683,1.000000
5034,1.000000
5435,1.000000
5815,1.000000
5589,0.000000
6746,1.000000
6790,1.000000
6857,1.000000
6450,1.000000
7221,0.571429
5527,1.000000
5620,1.000000
7167,1.000000
6215,1.000000
5823,1.000000
6207,1.000000
6932,1.000000
5669,1.000000
5154,1.000000
7168,1.000000
5585,1.000000
6539,1.000000
7200,1.000000
5015,1.000000
5042,1.000000
5774,0.571429
6357,1.000000
5354,0.666667
6054,0.000000
7295,1.000000
5365,0.428571
6755,1.000000
5991,0.000000
7035,1.000000
5893,1.000000
7164,1.000000
5304,1.000000
5561,1.000000
5520,1.000000
5241,1.000000
7096,1.000000
6078,1.000000
5046,0.666667
5334,1.000000
6969,1.000000
6821,1.000000
5760,1.000000
5614,1.000000
7091,1.000000
5698,1.000000
5169,0.666667
7294,1.000000
5318,0.000000
5368,1.000000
6923,1.000000
5463,1.000000
5265,1.000000
6321,0.000000
5226,0.000000
6868,0.000000
4967,0.000000
5293,1.000000
5865,1.000000
5841,1.000000
5526,1.000000
6852,1.000000
6469,1.000000
6168,1.000000
7292,1.000000
5036,0.571429
5644,1.000000
6856,0.000000
5428,1.000000
5027,1.000000
4989,1.000000
5221,1.000000
6402,1.000000
5346,0.600000
6748,1.000000
