Id,Predicted
5895,0.974995
7122,0.034392
6173,0.881020
6142,0.965667
5358,0.979204
6095,0.974995
6878,0.853011
6554,0.914421
6793,0.960180
7286,0.916003
6076,0.974995
5134,0.971027
5419,0.558098
6255,0.884118
5656,0.931851
6934,0.745291
6028,0.951633
6490,0.891977
6415,0.806521
7087,0.971027
5420,0.889104
5977,0.796479
6824,0.427486
5207,0.906548
7115,0.877036
7250,0.927262
6010,0.863274
6088,0.825919
5682,0.878061
7201,0.878061
6938,0.948237
6875,0.872574
5953,0.932749
5942,0.965667
5382,0.971027
6377,0.971027
5931,0.629076
5992,0.966593
5790,0.871841
6753,0.817005
6562,0.961106
7046,0.572913
5784,0.735764
5868,0.932749
5878,0.953583
5110,0.974995
5210,0.917934
7230,0.927262
5005,0.949615
6871,0.781665
5363,0.145503
7253,0.932749
5072,0.917934
6055,0.661023
6913,0.961106
6386,0.961106
5634,0.916338
5758,0.586428
6819,0.844097
7088,0.957120
5039,0.925794
6037,0.971027
5532,0.957120
6322,0.898933
6887,0.976514
6660,0.965667
5451,0.931851
6014,0.937889
5556,0.475317
6346,0.898933
5850,0.917962
5940,0.980482
7119,0.878061
6851,0.034392
5253,0.825919
6695,0.908216
6908,0.726030
7255,0.931851
5674,0.912447
6278,0.898895
5486,0.942750
5174,0.957120
6621,0.957138
6313,0.912447
6435,0.948237
6970,0.916338
6310,0.898933
5932,0.760330
6877,0.957120
6763,0.628268
7085,0.475317
7049,0.957120
6959,0.538597
5214,0.980482
6350,0.942750
5063,0.425575
5041,0.951633
6942,0.971027
5086,0.931851
5270,0.912447
6705,0.937744
7051,0.898933
6758,0.896775
6249,0.916003
5808,0.971027
5377,0.974995
5446,0.942697
5856,0.529939
7001,0.943231
4986,0.974995
6677,0.983172
6665,0.974995
5817,0.238095
6984,0.920307
6541,0.965667
5117,0.974995
6097,0.910979
5389,0.769502
7219,0.971027
6338,0.930221
6922,0.932749
5367,0.932749
5638,0.707379
5830,0.951633
5338,0.435501
6007,0.948237
6612,0.709142
5718,0.971027
6104,0.912447
5229,0.912035
5963,0.884118
5206,0.974995
6625,0.782033
4990,0.960180
6641,0.898933
5369,0.863246
6196,0.912447
5236,0.948237
5719,0.942750
