"loan_id","loan_date","amount","duration","payments","frequency","trans_count","credit_count","credit_ratio","withdrawal_count","withdrawal_ratio","smallest_transaction","biggest_transaction","daily_transactions_net","balance_min","balance_max","current_balance","times_negative_balance","credit_cash_ratio","collection_bank_ratio","interest_ratio","withdrawal_cash_ratio","remittance_bank_ratio","withdrawal_card_ratio","sanctions_rate","has_card","is_gold","gender","birthday","client_age","population","urban_ratio","average_salary","entrepreneur_rate","unemployment_rate_avg","crimes_rate_per_thousand","unemployment_growing","crimes_growing","can_afford_loan","can_pay_until","acc_age_when_loan","status"
5895,1997-01-03,93960,60,1566,"monthly issuance",89,30,0.337078651685393,59,0.662921348314607,-14.6,36637.5,5.00036330608538,800,88246.7,49548.5,0,0.179775280898876,0,0.157303370786517,0.449438202247191,0.213483146067416,0,0,0,0,"M",1962-06-01,36,77917,53.5,8390,132,3.725,0.047807282107884,1,1,1,31.6401660280971,452,NA
7122,1997-01-04,260640,36,7240,"monthly issuance",78,29,0.371794871794872,49,0.628205128205128,-4.6,41871,1.16283933239493,-718.6,88731.8,11565.4,4,0.179487179487179,0,0.192307692307692,0.333333333333333,0.294871794871795,0,0.000100542931831892,0,0,"F",1949-01-21,49,58400,52.4,8620,100,1.725,0.0295376712328767,1,1,1,1.59743093922652,490,NA
6173,1997-01-08,232560,48,4845,"issuance after transaction",176,43,0.244318181818182,133,0.755681818181818,45.7,43605,4.53817694901805,200,79286.6,45754,0,0.0170454545454545,0.113636363636364,0.113636363636364,0.409090909090909,0.346590909090909,0,0,0,0,"F",1939-04-27,59,177686,74.8,10045,135,2.275,0.0128034847990275,1,0,1,9.44355005159959,630,NA
6142,1997-01-21,221880,60,3698,"monthly issuance",71,21,0.295774647887324,50,0.704225352112676,-2,33280,3.99112820512821,1000,74216.8,41785.4,0,0.028169014084507,0.140845070422535,0.126760563380282,0.366197183098592,0.338028169014085,0,0,0,0,"F",1943-09-29,55,81344,55.3,8899,149,5.375,0.0660773996852872,1,0,1,11.2994591671174,311,NA
5358,1997-01-21,38520,12,3210,"monthly issuance",114,52,0.456140350877193,62,0.543859649122807,-14.6,8800,1.39442008768434,900,31302,16514.3,0,0.289473684210526,0,0.166666666666667,0.403508771929825,0.140350877192982,0,0,0,0,"M",1939-12-06,58,95907,59.1,8388,87,3.88,0.0404558582793748,1,1,1,5.14464174454829,597,NA
6095,1997-01-24,68340,60,1139,"monthly issuance",114,40,0.350877192982456,74,0.649122807017544,-14.6,36463.5,4.59132597234656,500,71564.8,60756.7,0,0.184210526315789,0,0.166666666666667,0.517543859649123,0.131578947368421,0,0,0,0,"M",1953-03-16,45,149893,67.4,9753,109,7.165,0.0478007645453757,1,1,1,53.3421422300263,617,NA
6878,1997-01-24,23184,12,1932,"monthly issuance",58,33,0.568965517241379,25,0.431034482758621,-14.6,11748,4.3586503948313,200,48344,42501.4,0,0.258620689655172,0,0.310344827586207,0.431034482758621,0,0,0,0,0,"F",1979-07-26,19,161954,48,8720,116,5.98,0.0369240648579226,1,0,1,21.9986542443064,315,NA
6554,1997-01-29,390096,48,8127,"monthly issuance",16,10,0.625,6,0.375,43.5,36178,4.61517615176152,900,77467,44278,0,0.375,0,0.25,0.375,0,0,0,0,0,"M",1978-09-26,20,112709,73.5,8369,117,2.945,0.026129235464781,1,0,1,5.44825889011936,163,NA
6793,1997-01-30,186300,60,3105,"weekly issuance",119,54,0.453781512605042,65,0.546218487394958,5.9,-63700,2.67318066157761,200,170682.8,26264,0,0.260504201680672,0,0.19327731092437,0.394957983193277,0.151260504201681,0,0,0,0,"M",1947-11-16,50,86513,50.5,8288,110,6.05,0.0699316865673367,1,0,1,8.45861513687601,395,NA
7286,1997-01-31,67320,36,1870,"monthly issuance",111,38,0.342342342342342,73,0.657657657657658,-14.6,16833,1.99010878323932,200,43949.4,19757.5,0,0.0630630630630631,0.144144144144144,0.135135135135135,0.333333333333333,0.324324324324324,0,0,0,0,"M",1972-01-26,26,95616,51.4,9307,118,6.065,0.0634308065595716,1,1,1,10.5655080213904,499,NA
6076,1997-02-02,117420,60,1957,"monthly issuance",43,17,0.395348837209302,26,0.604651162790698,-14.6,30794,2.545622406639,500,68584.8,24539.8,0,0.232558139534884,0,0.162790697674419,0.511627906976744,0.0930232558139535,0,0,0,0,"M",1966-02-21,32,75685,60.8,8208,155,3.02,0.0399022263328268,1,1,1,12.5394992335207,213,NA
5134,1997-02-02,53076,12,4423,"monthly issuance",65,26,0.4,39,0.6,-14.6,23817,2.15838114754098,500,65121.6,21080.3,0,0.230769230769231,0,0.169230769230769,0.507692307692308,0.0923076923076923,0,0,0,0,"M",1948-05-21,50,51428,52.7,8402,120,5.12,0.099556661740686,1,1,1,4.76606375763057,333,NA
5419,1997-02-05,415800,60,6930,"monthly issuance",37,18,0.486486486486487,19,0.513513513513513,-14.6,48667,1.38831101956746,700,140706,13480.4,0,0.27027027027027,0,0.216216216216216,0.513513513513513,0,0,0,0,0,"F",1949-09-05,49,1204953,100,12541,167,0.505,0.000419103483704344,1,1,1,1.94522366522367,286,NA
6255,1997-02-08,247920,48,5165,"monthly issuance",15,10,0.666666666666667,5,0.333333333333333,25.5,16100,2.47523730912092,200,31595.5,23990.1,0,0.4,0,0.266666666666667,0.333333333333333,0,0,0,0,0,"F",1957-04-16,41,106054,63.1,8110,109,9.045,0.0852867407169932,1,0,1,4.64474346563408,271,NA
5656,1997-02-09,146064,24,6086,"monthly issuance",22,12,0.545454545454545,10,0.454545454545455,-14.6,44258,4.69650532025871,200,90387.4,45020.6,0,0.318181818181818,0,0.227272727272727,0.409090909090909,0.0454545454545455,0,0,0,0,"F",1953-06-01,45,323870,100,10673,100,7.47,0.0230648099546114,1,0,1,7.39740387775222,166,NA
6934,1997-02-09,116832,12,9736,"monthly issuance",46,23,0.5,23,0.5,-14.6,17136,2.13915420319752,400,40761.2,20739,0,0.304347826086957,0,0.195652173913043,0.391304347826087,0.108695652173913,0,0,0,0,"F",1948-10-18,50,103347,67,9104,123,2.545,0.024625775300686,1,1,0,2.13013557929334,275,NA
6028,1997-02-09,317520,60,5292,"monthly issuance",73,21,0.287671232876712,52,0.712328767123288,-14.6,35938,3.97807261133395,1100,82886.2,38678.7,0,0.150684931506849,0,0.136986301369863,0.410958904109589,0.301369863013699,0,0,0,0,"F",1968-02-16,30,77963,51.5,8546,126,4.96,0.0636199222708208,1,1,1,7.30890022675737,303,NA
6490,1997-02-10,73260,60,1221,"monthly issuance",21,12,0.571428571428571,9,0.428571428571429,5.9,25654.5,2.9258061149953,900,58294.8,28038,0,0.333333333333333,0,0.238095238095238,0.380952380952381,0.0476190476190476,0,0,0,0,"F",1940-07-07,58,285387,89.9,10177,81,10.505,0.0368096654717979,1,1,1,22.963144963145,164,NA
6415,1997-02-12,475680,48,9910,"monthly issuance",12,8,0.666666666666667,4,0.333333333333333,64.3,34100,4.87477987421384,700,70405.3,46505.3,0,0.416666666666667,0,0.25,0.333333333333333,0,0,0,0,0,"F",1966-05-08,32,159617,85.2,9198,131,5.47,0.034269532693886,1,1,0,4.6927648839556,123,NA
7087,1997-02-20,44304,24,1846,"monthly issuance",63,21,0.333333333333333,42,0.666666666666667,-14.6,21466,4.77693098837807,300,58281.2,46446.1,0,0.19047619047619,0,0.142857142857143,0.476190476190476,0.19047619047619,0,0,0,0,"M",1966-06-20,32,85852,59.8,8965,104,11.195,0.130398825886409,1,1,1,25.1604008667389,314,NA
5420,1997-02-24,72504,24,3021,"monthly issuance",99,26,0.262626262626263,73,0.737373737373737,-14.6,-62200,1.75932935609957,600,145620.3,17104.4,0,0.161616161616162,0,0.101010101010101,0.373737373737374,0.363636363636364,0,0,0,0,"F",1950-06-26,48,122603,80,8991,128,2.395,0.0195345954014176,1,1,1,5.66183382985766,317,NA
5977,1997-02-25,59136,48,1232,"monthly issuance",44,23,0.522727272727273,21,0.477272727272727,-14.6,6620,2.35263811297331,6620,32572.8,22740.4,0,0.340909090909091,0,0.181818181818182,0.477272727272727,0,0,0,0,0,"F",1979-12-10,18,170449,100,10787,131,4.185,0.0245527987843871,1,1,1,18.4581168831169,262,NA
6824,1997-02-26,71976,24,2999,"issuance after transaction",133,60,0.451127819548872,73,0.548872180451128,1.9,49067,8.58130465373404,-8245.1,139580.2,85375.5,6,0.203007518796992,0,0.24812030075188,0.548872180451128,0,0,0.000301537842999296,0,0,"M",1965-07-14,33,161854,76.3,9425,125,2.97,0.0183498708712791,1,0,1,28.4679893297766,546,NA
5207,1997-02-28,35904,48,748,"monthly issuance",59,24,0.406779661016949,35,0.593220338983051,-14.6,7842,1.82141899556564,900,34278.5,17662.3,0,0.271186440677966,0,0.135593220338983,0.288135593220339,0.305084745762712,0,0,0,0,"M",1946-01-22,52,228848,57.2,9893,96,6.45,0.0281846465776411,1,1,1,23.6127005347594,296,NA
7115,1997-03-04,88704,48,1848,"monthly issuance",131,55,0.419847328244275,76,0.580152671755725,-14.6,11800,1.33418098738452,800,32019.4,13431.1,0,0.251908396946565,0,0.16793893129771,0.442748091603053,0.137404580152672,0,0,0,0,"F",1960-10-29,38,87419,85.5,8624,102,3.12,0.0356901817682655,1,1,1,7.26791125541126,670,NA
7250,1997-03-04,119136,48,2482,"monthly issuance",119,44,0.369747899159664,75,0.630252100840336,-14.6,45673,4.55336720462243,1100,97010.1,45721,0,0.19327731092437,0,0.176470588235294,0.630252100840336,0,0,0,0,0,"F",1963-05-15,35,114006,62.3,9065,123,7.155,0.0627598547444871,1,1,1,18.4210314262691,641,NA
6010,1997-03-06,150180,60,2503,"weekly issuance",16,12,0.75,4,0.25,73,36791,8.25830727538045,200,92464.9,79230.1,0,0.5625,0,0.1875,0.1875,0.0625,0,0,0,0,"M",1937-05-01,61,110643,51.9,8441,115,5.69,0.051426660520774,1,1,1,31.6540551338394,199,NA
6088,1997-03-07,90180,36,2505,"monthly issuance",13,10,0.769230769230769,3,0.230769230769231,34.4,22544,3.83613092740243,200,51813.7,36566,0,0.153846153846154,0.307692307692308,0.307692307692308,0.230769230769231,0,0,0,0,0,"M",1960-09-23,38,72541,36.9,8594,112,2.625,0.0361864325002412,1,0,1,14.5972055888224,138,NA
5682,1997-03-07,67464,12,5622,"monthly issuance",57,24,0.421052631578947,33,0.578947368421053,-14.6,50602,6.08131856864554,600,92407.6,59310.8,0,0.0175438596491228,0.210526315789474,0.192982456140351,0.578947368421053,0,0,0,0,0,"M",1935-12-25,62,125236,87.7,9675,100,10.27,0.0820051742310518,1,0,1,10.5497687655639,359,NA
7201,1997-03-07,67464,12,5622,"monthly issuance",57,24,0.421052631578947,33,0.578947368421053,-14.6,50602,6.61308315390136,600,92407.6,64497.2,0,0.0175438596491228,0.210526315789474,0.192982456140351,0.578947368421053,0,0,0,0,0,"M",1935-12-25,62,125236,87.7,9675,100,10.27,0.0820051742310518,1,0,1,11.4722874421914,359,NA
